index,Search Term
10379,LiNi1.5Mn0.5O4
147,(z)-2-butene
8242,Ge-As
9235,Ir(OH)6
3585,CARBON DIOXIDE
13497,POClF2
14590,ScNi6Ge6
459,1932-4391
19213,Ga2O3
13156,PbSe Debye temperature
17466,Y2SiO5Ce
9768,La2Ni2.25Ga0.75
14724,SI phonon spectrum
8581,HeKYEr
6895,Er-Ru-Ga
2059,Anomaly detection methods based on GAN: a survey
16224,Ti
8716,HfH
7308,Fe Si O resistivity
15726,Ta-Si-C
9142,InP photo elasticity
14549,Sc-V
2405,Ba-Ta
13798,Pt refractive index
13032,PA66
1764,Al2O3 TiN
17723,"Zhenzhen Feng, Jueming Yang, Yuanxu Wang*, Yuli Yan, Gui Yang, Xiaojing Zhang, Origin of different thermoelectric properties between Zintl compounds Ba3Al3P5and Ba3Ga3P5: A first-principles study,J. Alloys Compd.,636, 387 (2015)."
15370,SrCd2Bi2
13409,phosphogypsum
8483,H0.68Ti1.83O4
10125,Li1.1V3O8 crystal structure
812,"3,3,4,4-Tetrafluoro-1,2-oxathietane 2,2-dioxide"
21301,CsV3Sb5
16220,Ti
15248,Spectra
813,"3,3',5,5'-tetrabromo[1,1'-biphenyl]-2,2'-diol"
645,"2,3,6,7-Tetrahydro-1H,5H-pyrido[3,2,1-ij]quinoline"
16816,trans-cinnamic acid octyl ester
14483,Sb-Te-Co XRD
16068,"Tetrahydro-2,2,5,5-tetramethylfuran"
3490,cage fatigue
763,3-ethyl-decane
8206,GdPh3B
17289,Werkstoffe für die Elektrotechnik
5057,consolidated yttrium
7381,Fe-Mo
1584,Al-Ni
7992,GaInP2 crystal structure
2497,BaF2 crystal structure
19624,NaCrO
13338,phase diagram Fe-Re
13639,Pr2Ga
16826,transnational
11359,MnPr
16721,Tm-Mn
3343,Ca[CO3] cal
13382,Phase prototype: FePSe3
7190,"Extraction and Physicochemical Characterization of Chitin Derived from the Asian Hornet, Vespa velutina Lepeletier 1836 (Hym.: Vespidae)"
9008,in sn phase diagram
2280,AUstenite
4981,consolidated technetium
17816,"Zn(Se,S)-(Al,In)P digital Alloys"
19832,Proline xrd
2803,Bi-Te phase diagram
6557,DMSO infra red
15180,SO2
16534,TiNb
5157,CoSb2 magnetizataion
4194,"cis-1,2-dibromo-cyclohexane"
6214,CuYMo2O8
4222,CMC solutions
8914,https://materials.springer.com/isp/crystallographic/docs/sd_1810983
19978,SrCd2As2
18762,CeAlO3
2201,ATP
16994,Using Text Mining and Natural Language Processing to Support Business Decision: Towards a NooJ Application
21047,water
16681,tlcabr3
15357,Sr9Al(PO4)7
19845,PtS
15795,tantalum
4517,conformal coating
10011,lauryl methacrylate
16581,TiS
5141,cops3
13568,polyseuse
12685,nicl2 structure
20726,Sr2YBiO6
15649,synthesis of mixed diasters of synthetic petroleum acids
12055,NaTi6(PO4)3
5696,CsPbCl3
20089,Tl2Mo6Se6
896,4-ethyl-2-heptanol
10488,Lu-cu
20139,W debye temper
5202,cr ni mo c
1652,Al-Zn phase diagram
1699,Al163Cu
7374,"Fe-Mg,Phase"
917,"4-methyl-1,3-dioxolane-2-one"
7485,FE23Y6
15836,Tb
5991,Cu2SnIn
16478,TiB2
20296,al-cu
17770,Zn Mg
15742,Ta2Ni21B6
21114,HfO2
5444,Crystal Al
9978,LaRh3Ga2
14201,refractive index above 0.2
19130,Fe-Al
12832,nonylcyclohexane
2479,BaCaNbO3
12754,NiOH
20831,Al Cr Ti
1793,Al3Mg
5596,Cs3Sb2Br9
13833,Pt3In2 crystal structure
16233,Ti Bi
278,1-methyl-cyclohexanol
13429,Photoferroelectrics
18120,ZrO2 SrO
2570,BaReH9
2825,Bi2MoO6 cmca
9512,KBaVO4
3405,Ca4P2O9
8223,GdTeI
4568,consolidated barium iron oxide
12637,Ni8 Nb
5115,CoP
9959,lanthanum strontium manganate
19876,Ru3Sn7
2202,au
6753,elastomer
498,2-Bromo-4-hydroxy-5-methoxy-benzaldehyde
8406,Graphene
19911,Si-Al-Mn
8029,gan hexagonal
6242,cyclohexanone
10096,Li-Mg-Si (Lithium - Magnesium - Silicon)
11088,Mn Ce phase diagram
6548,Diverse anisotropy of phonon transport in two-dimensional group IV–VI compounds: A comparative study
4600,consolidated calcium copper titanate
3631,CaSi
2650,BaZrSe2
18916,consolidated titanium nickel (1:3) intermetallic compound
8444,"Grimes J. Am. Ceram. Soc. 74, 270 1991"
10621,mannit
8407,Graphene
18337,园林水景
11416,Mo Ni
19196,FeSe
6668,DyHo3
10953,MgB4
6422,Dichloromethyl methyl ether
11896,na3ndbr6
10373,LiNi0.5Mn1.5O4
10782,Mg phase diagram
2340,B-N
1824,Al5Ba3
18488,Ag2Se
8805,Ho-co
6415,Dibutylether
13508,poluant
12246,NbSe2 crystal structure
19818,potassium
18320,موتور
11464,Mo-Rh
16487,Tic crystal structure
16440,Ti4Cu2O1
18971,CrAs
1002,631715
17474,Y3Al5O12
8148,Gd6Co5
4169,Chromatograpy of the Coleonema ablum
20450,Cs2LiLaBr6
12632,Ni5Ge3
900,4-ethyl-5-methyloctane
3061,Brinkmann
17403,Y B Rh
21237,CaTiO3
14136,rbpbCl3
18839,consolidated calcium titanate
19458,LiMgPdSn
20606,Mg Zn
8772,HgS crystal structure
20301,Al-Si
9434,k3irbr6
12005,NaNbO3
3326,CA-N
9872,LaCr10N11
2515,bamboo
19605,Na2CO3
13202,Pd-Ni-Ti
4257,Co rt magnetization
8776,High exposure Ag2O
19271,H2PtCl6
3567,CaPb3
7481,Fe2[Fe(CN)6]
18656,Bi4Br4
1670,Al^S
15365,SrBaNb2O6
10185,Li3(BP2O8)
12080,NaZrO2
6854,enthalpy rhenium oxide
10810,Mg-Bi
14177,Re2O7
8047,GaP effective mass
3953,CeFe2
19046,CuS crystal structure
21073,CaF2
9837,LaAlO3 crystal structure
7989,GaIn
18076,ZrFe2O4
20293,Al Er
11223,Mn3.4ge magnetization
11190,Mn2As
12037,NaOH・H2O
16879,Tritium adsorption
17842,Zn5Sb3 crystal structure
18736,catio3 crystal structure
19791,phase diagram Ni Mg H
14155,rbvBr3
8537,hardened steel
641,"2,3,4-trimethyl-pent-2-ene"
19756,PbCuBiS3
3540,canisio4
8403,graphene
8647,Hf Crystal Structure
1311,AgCrSe2
13363,phase diagram Ti Ce La Ru
8952,hydroxyapatite
17132,viscosity butanone
13914,PuO2
15345,Sr3V2O8
495,2-bromo-2-pentene
8227,GdZn
5223,Cr-B-C
14751,Si-Nb
5700,CsPbI3
5536,Cs2SeBr6
3157,C-Ni-Si
3151,C-Mg phase diagram
20664,Ni Fe Ga
12166,Nb3SBr7
10945,MgAgSb
33,"""Simulation_based"" and ""air_quality"""
7269,Fe crystal structure
5112,Cooperation on dynamic networks within an uncertain reputation environment
4780,consolidated iron(ii) oxide
10291,LiF-BaF2
2298,Available properties of pure 3-ethyl-octane
15394,Srcusb
1581,Al-Nb
10072,Li solubility
4235,Co
3698,Cd2Ir2O7
7059,Ethyloxy-triphenyl-methane
9126,InN
1061,A detailed introduction to density-based topology optimisation of fluid flow problems with implementation in MATLAB
20495,Fe-Ni Binary Phase Diagram
12240,NbSe sturcture
649,"2,4-Dimethyl-benzaldehyde"
12183,NB6SN5
9699,La-O-S
245,1-cyanoadamantane
9667,La Sn
7038,ethyl laurate
8154,GdAsSe
20020,TbFe3
15873,Tb-Te
10000,LaSrCuO4
9767,La2Ni2.25Al0.75
15383,srcoo3
10438,Liv3o8
18112,ZrO2 HfO2
9961,LaO2
16063,tetrafluoroethene
20324,B Crystal Structure
2591,basic copper carbonate
19113,Eu1-xMn1 xO3
10168,Li2O2
21014,Si
21200,MgF2
4009,CeP2 magnetization
20623,Mn-Si
6534,dislocation loops capture volume
5972,Cu2O
7001,ethanoic anhydride
18726,carbon dioxide
10192,Li3B[PO4]2
14585,schottky barrier
13749,propylcyclobutane
14301,Rn
1874,AlCu3
9441,k3ndbr6
18044,ZrAl2
13460,PLA/PMMA
4096,CeSeTe
6902,Er2Ge3
10097,Li-Mn-Ce-O
2644,BaZr03
5922,cu-Zn
6906,Er2Ru2O7
17353,Wse2 crystal structure
16516,time series forecasting
13473,PLLA
5227,Cr-Co
16562,TiO2 inflex
11801,Na-Gd-F
3598,Carbon Nanoparticles from Thermally Expanded Graphite: Effect of the Expansion Conditions on the Derived Nanoparticles Morphology
17301,Wheel leg structure
6871,epoxy
2625,BaTiO3-SrTiO3
14804,SiC/Ti-6Al-4V
5244,Cr-Mo-B phasedigram
3052,Br4V4S9
13864,PtGe2
16501,TiFe2 phase diagram
16646,Tl2S2
9174,Integral Equation Methods for Electromagnetic and Elastic Waves
6151,CuO
10744,methyl sulfone
7707,FePd3 crystal structure
2854,Bi2Te3
4276,Co-Er
19430,Li Ti O perovskite
2474,BaAs
14305,Robot vision
18704,CaAs phase diagram
11879,na2zrsi4o10
1118,accountand
11882,Na3(VO)2(PO4)2F
11499,Mo2S3 Debye
10608,magnetocaloric materials Energy
6651,DyCo3 transitions
18779,CeSb2
9265,Iron (II) flouride
7611,Fe7W6
18475,acetaldehyde
17259,water molecular formula
19833,propanal
17503,Y7Ru3
8085,Gd-Fe
17378,X155CrVMo12
10759,methylsilane
14698,Si
4719,consolidated germanium antimony telluride
6071,CuBi2O4 band
1397,Al B X
18548,Al3Sc
4273,Co-Cr-Fe
16810,"Trans-4,5-dichloro, 6-6, dimethylhept-4-en-2-one"
11183,Mn1.75Sn
19862,RbV3Sb5
11220,Mn2Zr
13406,phosphinborane
12641,NiAl
2136,As-Fe-O-Sc-Sr structure
11622,Morrone
9016,in-sb-te
15753,Ta3B4 crystal structure
11336,MnO Al2O3 phase diagram
17270,WB2
10866,Mg-Yb diagram phase
3976,CeMn4Al8
4964,consolidated strontium difluoride
9487,k6si4o12
14550,Sc-Zn
20541,Graphene
19143,Fe-Nd
4381,Co2O3
7270,Fe crystal structure
4712,consolidated gallium nitride
19005,Cu Si Ti
7255,Fe Co Al B
20829,Ag2Te
11546,MoCl2
1140,Acetone VLE
11258,MN3SN
5803,Cu-Ag-Mn
17960,Zr-C-O
1044,90-10 cupronickel
21256,Ni3Sn
19080,Dy-Al
380,"1,8-Dihydroxy-anthraquinone"
285,1-octylamine
18833,consolidated bismuth selenium iodide
19648,Nb3Cl8
11027,MgTaO
12879,O3-NaNi0.5Mn.5O2
17306,winkelmann
5726,CsV3Sb5
15140,SnI4 hp
9778,La2O3
18282,С Crystal Structure
20712,Silver
3094,Burning in China based on Satellite Observations
2351,B-O-Ti
4880,consolidated nickel ditelluride
6442,diethylamine
12740,NiO Crystal Structure
8276,Ge4Na crystal structure
17598,YbNbO4
16588,TiSe2
17326,wortmannii
17747,zirconium dioxide stabilized 8% Y2O3
8143,Gd4Ga2O9
415,1010
10747,Methylamine
7292,fe p s3
14555,Sc3Ga
6143,CuNi phase diagram
1313,AgCuAsTe3
7607,Fe6W6C Crystal Structure
21321,FeGe
15028,SmNiC2
7644,FeCu
20237,Zr-Y-O
9350,K-Si
7903,furan
12457,Ni-al
2827,BI2O3
12326,Nd5Ge4
8981,image crocs
13136,PbO2
11685,MXene
15984,Te Sb
13623,pr-cu
10565,m-iodophenol
17252,water acetic anhydride VLE
3111,butter
17781,Zn Ta Cl
3137,C-Cr Binary Phase Diagram
15420,srla2sc2o7
8554,hdpe
4286,Co-Fe-Sb
11213,MN2TA
8950,Hydrotalcite
742,3-chloro-propan-1-ol
11852,Na2Mn3O7
3743,Cdte
9660,la guía manga
4458,cof
13875,PtSb2 crystal structure
8884,hourly energy forecast prediction
12330,Nd6Fe13Sb
4305,Co-mo
13777,Pseudobinary gete
12894,octan-1-ol
20369,CeF3
16837,trichloroacetaldehyde
5737,CsYCl3
21382,Si
7024,ethyl 2-bromobutanoate
17479,Y3Ga3 SiO12
4269,Co-Ce Binary Phase Diagram
2919,BiNiO2
10709,methacrylimide
9841,LaB6 crystal
18853,consolidated gadolinium
1952,alooh
7856,formation energy
9688,La-Ga
4504,Compressible Flow
20638,N-Ethyl-N-methyl-2-methyl-1-propanamine
7108,Eu4Al2O9
21091,consolidated sodium chloride (halite)
17934,Zr Gd
14979,Sm3Co
17305,wingsail
17343,WS2 monolayer
15774,tac
21351,Ti
8804,HNO3
15130,SnBi2Se4 crystal structure
219,1-bromo-2-methyl-propane
7867,fracture toughness
418,1040 steel ultimate shear stress
2297,Available properties of pure 3-ethyl-hexane
17444,Y，space group 191
17382,X40CrMoV5
19455,LiIn3
6310,decylpentane
10206,Li3InN2
17957,zr-c
20318,AQSOA-FAM-Z02
19152,Fe-Ta
15678,Ta Al
10845,Mg-PSZ
9131,InNi2 crystal structure
7301,Fe Sb
5571,cs3gdi6
9611,KpdF3
18552,Al5FeSi
11375,MnSe0.5Te0.5
11539,mobile nitrogen station
9889,LaFeO3 crystal structure
240,1-chloro-4-isopropyl-benzene
12806,NiY
17665,YNiO3
11059,MIL-101
14208,refractive index＞0.2
15167,SnTaO3
3370,Ca2Rh5B4
9182,interplaner spacing
9110,InGaAs
17065,V3F8
11586,molten salt coating
13670,PrBaCo2O5
9643,"L.H. M. Shinn, S.A. Barnett.Growth, Growth, structure, and microhardness of epitaxial TiN/NbN superlattices, JMatR 7(4) (1992) 901-911,"
12534,Ni-supperalloy
15928,TbCu
16310,Ti-N
2952,Birnessite
6140,CuNi
7581,Fe3Sn2
4464,cofe2o4
3699,Cd2P3
3729,CdO crystal structure
191,**6Sn6
5952,Cu2-xSe
3534,CaNi2
20698,Refractive Index > 0.2
4162,CHN
11151,Mn-Pb phase diagram
8887,HoV3
15252,spectrum sensing
17215,W-Ta phase diagtam
7101,Eu2Si2As4
15114,SN2V
13434,phthalocyanin
9161,InSe crystal structure
18876,consolidated lithium nickel oxide
12045,"naphthalene, 1-phenyl-"
11193,Mn2Bi
13128,PbI2 spin-orbit
12864,o-si solubility
11771,N52M
1742,Al2O3 Ce
19596,Na-As binary phase diagram
15909,Tb6SI5
3255,C3S
1275,Ag3SI
4420,Co4(SiO4)2
6811,En
14216,Reliability Based Life Cycle Management of Bridge Subjected to Fatigue Damage
19285,Hf crystal structure
2120,Artículo científico de investigación en nutrición animal
6794,elliptic partial differential
18400,1-phenyl-butan-1-one
8124,Gd3Al3Ga2O12
19133,Fe-Bi
6834,engineering management
16035,"Ternary Alloy Systems: Phase Diagrams, Crystallographic and Thermodynamic Data"
16090,tetrofluoroethane
19328,industrial revolution
16892,tungsten carbide
19687,Ni FCC
743,3-chloromethyl-heptane
18662,Bis(trifluoromethyl) sulfoxide
579,2-Nitro-benzaldehyde
17395,XPS oxygen
5363,CrB crystal structure
1157,acid
10510,Lu2V2O7
15082,Sn-Fe-Cu phase diagram
8634,hexanedinitrile
14213,regression method
17234,W3Si2
9465,k3tbbr6
20258,β ti
899,4-ethyl-3-methyl-3-hexene
7233,Fe
19850,PVDF
19651,nbc
1112,Absoprtionskoeffizient 1.4301
8625,hexamethoxydisiloxane
15719,Ta-Re
15066,Sn superconductivity
19753,Pb Ti Zr O
7476,Fe16.1C
6758,Electrical Characterisation of GaAs Materials and Devices
9205,Iodine
16434,Ti3Zn
12130,Nb-Ta
13983,Raman
20517,Ga
3486,CaFe2P2
14572,ScCo2 transitions
15236,sorption
4596,consolidated caesium
751,"3-ethyl-2,4-dimethyloctane"
18999,Cu Al phase diagram
1834,al7cr
16407,Ti3As
15597,SUH310
2486,BaCl2 TaCl5
20572,KTiOPO4
14409,S Ba
8271,Ge3Sb2Te6
7589,"Fe3W3C, crystal structurel"
16281,Ti-Ak
10827,Mg-Gd-1Y phase diagram
16405,"Ti3AlC2, cif"
17355,WSe2 crystal structure
14264,Rh2(CO)8
15951,TbO2 Crystal Structure
17899,ZnS crystal
16188,thermodynamics of Al-Li-Ag
16102,the abortion in mexico
10517,Lu4.67[SiO4]3O
15048,Sn
12284,Nd-In phase
20354,C60
15457,srruo3 structure
8134,Gd3Ga2Al3
21136,MnO2
5449,Crystal structure
69,(CH3NH3)4PbI6
1241,Ag-Pd-O phase diagram
10637,martensite
6629,Dy3GaCoS7
3983,CeNi5
8281,GeAs
8161,GdCl3
8916,https://youtu.be/684DfzVXBtc
17451,Y2Co17 Crystal Structure
6049,Cu8O
4300,Co-Mn-Al
14267,Rh3(PbSe)2
4478,Coloides y cristaloide se
6409,"dibenzo[b,k][1,4,7,10,13,16]hexaoxacyclooctadecane"
3395,Ca3Co4Sn13
10260,LiB(PO4)LiO
13253,PdTe2Ag2S
2613,BaTiO3
11243,Mn3IrSi
11400,MnZnN
556,2-methyl-5-(1-methylethyl)-phenol
8254,Ge-P
17989,Zr-Si phase diagram
2659,BCC iron crystal structure
4446,Cobalt hydrogen
17238,wafer diagram
8646,HF
8260,Ge-Ta_O
1189,advanced process control
6381,diacetone alcohol
5750,Cu Co diffusion
2141,As-I
10685,melting point FeP
2950,BiRhTi
16898,Turmalina
18478,adsorbent
19861,RbTiOPO4
16925,"U, W"
20561,IrB1.1
20389,Cobalt permittivity tensor
3945,CeCoIn5
10453,Ln3Cr10N11
5283,Cr1-xFex
16736,TmCo2 transitions
8705,HfBi3
7847,Fm3-m
18479,Ag
564,2-methyl-pentadecane
9087,INDIUM
66,(AlCr)O3
18945,Cr Mn
15558,STO
20161,Y2O3
513,"2-chloro-4,6-bis(ethylamino)-1,3,5-triazine"
18362,聚环氧乙烷
5897,Cu-Sb-Te phase diagram
3862,ce3al11
10382,LiNiMnO4
2018,Amélioration des plantes
15916,TbBi2
16258,Ti Ni Zr
3987,CeNiSnD1.8
5894,Cu-Sb phase diagram
7466,Fe0.856 O
3525,CaMn2P2
111,(NaBi)0.5MoO4–BiPO4 microwave dielectric ceramics with ultra-low sintering temperatures
16119,The Effect of Dietary L-Carnitine on Semen Traits of White Leghorns
14911,SiO3 structure
16953,umbilical cord mesenchymal and breast cancer treatment
18805,CO2
16329,Ti-Sb phase
21347,Cu
6726,Effectiveness of FMEA Risk Analysis
17861,ZnFe2O4
1777,Al2Pt crystal structure
16460,Ti6Sn6
6976,es:Mo
17462,y2o3 Si3N4 phase
11335,MnO
9433,k3irbr6
5457,Crystal structure of Co
18474,Acero inoxidable
9829,LaAl2
2455,Ba4Al5
8155,GdBa2Cu3O7
12923,On the sum and spread of reciprocal distance Laplacian eigenvalues of graphs in terms of Harary index
1546,"Al-Ge-Nb, Ternary Alloys"
10395,LiOsO3
19587,MoSi2
6678,DyS
2067,antibacterial activity of bacteria
14781,SiBr4 lt1
11254,Mn3Si2Te6
10402,LiPN2
4766,consolidated iron diselenide (ferroselite)
12909,oferta laboral femenina
2594,BaSmZrWO
4341,Co0.6Mn0.4Se
11487,Mo2(NR2)6
20321,As2O3
916,4-methyl-1-(1-methylethyl)bicyclo[3.1.0]hexan-2-one
2035,An improved supervoxel 3D region growing method based on PET/CT multimodal data for segmentation and reconstruction of GGNs
9383,K2Ni3S4
20892,consolidated tantalum
13894,Pu
14887,singapore land reclamation
447,15r SiC
603,"2,2-dimethylpropane nitrile"
12993,P crystal structure
18241,Δ-Ga2O3
11716,n-fe phase diagram
12821,NO3Cl
12293,Nd1.1Fe4B4
9203,iodine
10062,Li Bi
16673,Tl6TaVS8
1413,Al Cu Mg Ag
21126,LiNbO3
20315,aluminium
12915,olive oil
2290,autodock
18390,"(Z)-1,2-dichloroethene"
598,"2,2-dimethyl-butyryl chloride"
21287,Mn3Ga
13845,Pt5Al3 crystal structure
11594,Molybdenum sublimation
3759,Ce Pb Bi
10459,logica salas del angel
10366,LINdO3
1462,al young's modulus
19410,LaCrO3
12151,Nb2O5 fusion
8766,HgFe2O4
2383,B4C Al
1818,al45v7
10314,LiH
7186,Experimental Study on the Vehicle Knocking Noise Based on Crankshaft Angle
19471,LiZr2(PO4)3
18385,(1-methylethyl)cyclohexane
14860,silicon tetraiodide
7841,fluoro-methane
744,3-chloropyridine
11278,MnAsS4
21064,α-RuCl3
6771,electron affinity temperature dependence
20298,Al-Mn
919,4-methyl-heptan-3-ol
12343,NdBa2Cu4O7
4068,ceru4sb12
2377,B3Mo3Ni
8017,gamma-Butyrolactone
15102,Sn-Y
8460,Gutmann lewis bases
16777,topacio crystal structure
6414,dibutyl ether vapor pressure
10730,Methyl 2 oxocyclohexanone
7567,fe3o4
8408,graphene base vector
20622,Mn-Ga
17017,V-B-C
7709,FePO4
12969,OsS2
15784,TaHfC2
3185,C1100
3516,calcul les enthalpie libre de syst�me binaire B-Re
281,1-methylpentane
16128,The impact of spatiotemporal patterns of land use land cover and land surface temperature on an urban cool island: a case study of
19868,rf
16962,"undecane, 2-methyl-"
13007,P-S
19268,H2O
9120,InGaZnO4
4308,Co-N
4227,CN(C)C(=O)CCCCCCCC=C
4318,Co-Sb
17738,Zinc crystal structure
2419,Ba2BiVO6 photocatalyst
4917,consolidated rubidium nitrate
2418,Ba2BiVO6
1300,AgBiSe2 crystal structure
8688,Hf-Zr-Si
2731,BeS
11713,N-ethyl-hydroxylamine
316,"1,1,1,3-tetrachloro-propan-2-one"
12478,Ni-B
11318,MnHf
1853,AlAu2
3750,cdte hexagonal
811,"3,3-dimethyl-heptane"
18415,1.2601
6911,Er3Fe
12978,oxime
13193,Pd-Bi
11741,n-ti
7189,extracellular polymeric substances
1595,Al-Ni-Si
15815,TaS2 structure
15008,smco5 density
14125,RbMnbr3
14473,Sb-Ni phase diagram
1691,Al13Fe4
9270,Iron nitride
10372,"LiNi0,8Co0,1Mn0,1O2"
13888,PtTe2
7726,ferrihydrite
15509,SrZn2P2
14039,rb3inbr6
19521,mgsio3 62
1375,ajom
5998,Cu2WS4
990,5g
535,2-hydroxy-propionic acid
11912,Na3VO4
12578,Ni2SiO4
4332,Co-W
12418,NHF2
16273,ti zn
3104,butane phase
18919,consolidated titanium(iv) oxide (rutile)
18685,C7H16N2
14456,Sb -Cr Phase Diagram
19889,Sb-Fe
20799,Yb Si O
8929,hydrastinine
21243,consolidated chromium
9251,iridium oxcide
16302,Ti-Fe binary phase diagram
20752,Tb Co
6169,CuPbSn
2853,Bi2Te2S
14854,silicon oxygen enhance diffusion
14569,ScBi2
9178,Interférométrie en télédétection
5232,Cr-Fe
6899,Er10Rh9In20
1450,Al Si Mg
9417,k3erbr6
4348,Co19La5
5333,Cr3Ga
9050,In3Se4
11859,Na2O
15598,Sukeharu Nomoto
15443,SrO8
7288,Fe MOF
2759,Bi In
7744,FeS crystal structure
7591,Fe4[Fe(CN)6]3
2697,benzene adsoprtion
3040,Bournonite
19748,paracetamol
16657,tl3inbr6
13964,quinoline
13996,Rb Zn I
6088,CuCO3
17727,ZIF-67
5107,cOO crystal structure
20573,KVSb
1195,aerooptics
11684,muscovite
13713,PrNi
8519,H3P
4324,CO-SN
12922,On the divergence of early and contemporary HRM theories
6351,Design and Manufacturing of Flapping Wing Mechanisms for Micro Air Vehicles
4653,consolidated cobalt oxide
2288,AuTiSn2
11289,MnC
12924,On the use of transmission electron microscopy to quantify dislocation densities in bulk metals
6433,diethoxymethane
3776,Ce-Cu-Ge
4382,Co2O3
17585,YbFeO3 crystal structure
8244,Ge-Fe
6057,CuAl2O4 Crystal Structure
1108,Absolute Allergy and Immunology Board Review
19950,SmCo7
20489,Fe crystal structure
20004,Ta-C
8566,heat capacity MgO
5678,CsLaCl3
17980,Zr-Ni-Cr-Al
723,3-(4-Methoxy-phenyl)-1-p-tolyl-prop-2-en-1-one
15381,SrCoO2.5 structure
11204,Mn2P2S6
10652,materials characterization
17254,water and sodium-alginate
11211,Mn2Si3Te6
16115,The Dynamics of a Controlled Streamer Discharge at Moderate Air Pressures
12011,NaNi0.5Mn.5O2
5187,CoW2B2
20792,Y-Al-O
50,„Paper recycling“
17122,VI3
18438,"2,3-dimethyl-butan-2-ol"
19747,paracetamol
14925,SiTe2
16366,Ti1Si2
4755,consolidated iron
9892,LaFeSi
97,(E)-cyclononene
13653,Pr3Pt4Ge13
7180,Evaluation of health information systems
6562,Do
6398,Diamond like Carbon
15911,TbAl2
19103,ethanol cyclohexane density
19069,difluoroiodomethane
408,10.1557
6580,Drilling
11453,Mo-Nb
18536,Al-V phase diagram
14695,should college open
5783,Cu Sb S
8876,HoNi3
16660,tl3labr6
10380,LiNiCoMnO
2077,AODV
12986,p
16860,triisocyanato-phosphine oxide
760,3-ethyl-4-methyl-3-hexene
20467,CuBi2O4
10985,MgFe6Ge6
16143,The role of host–guest interactions in organic emitters employing MR-TADF
2959,bis(diethylamino)dichlorosilane
1677,Al10Mn2Ce
13366,phase diagramm
10950,mgb2
19264,graphine
12716,NiHo
10259,LiB
10551,LuPt2Ga
15529,standard gibbs energy of formation CuBr
7352,Fe-Cu Binary Phase Diagram
21120,La-Co
15502,SrV6Sn6
3537,CaNi2Ge2
4320,Co-SI
110,"(Na(Al,Fe,Li,Mg,Mn)M3Al(Si6O18)(BO3)3. (OH,F)4)"
12023,nano condensator
13064,Pb Zr Ti O
4546,consolidated aluminum(ii) oxide
17266,water-ethanol mixture surface tension
821,3000 Charge carrier mobility
16602,titanium bcc
14697,Si
10585,Machine learning algorithm for the structural design of MEMS resonators
3162,C-Ta
3773,Ce-Co-Sn
10677,mechanism between light and diamond
13601,Potassium
17843,Zn5Ti
6540,distributed PV power forecasting automl
10721,Methanol CH4O CH3Cl Chloromethane
5064,consolidated zinc
20317,ammonia
8216,GdSi2
8229,Ge
1624,Al-Si-V phase diagram
14957,Sm-Ru-In
14266,Rh2O3
8421,graphit
9302,isopropanol
2044,Analysis of Dynamic Behavior of Beams with Variable Cross-section
20852,carbon
9878,LaFe12B6
11541,MoC
5512,Cs2MnBr6
2007,aluminum 2055
5867,Cu-Mo Binary Phase Diagram
6352,Design and Simulation Analysis of Flow Field in Turbine Blades ECM Process
11446,Mo-Fe phase diagram
20797,Y3Co2
2397,Ba-Bi phase diagram
19577,Modeling and simulation of wear in revolute clearance joints in multibody systems
18982,Cs2NaBiCl6
11924,Na5Al3F14
18882,consolidated magnesium oxide (periclase)
2010,Aluminum battery
11051,Microservices: Flexible Software Architecture.
3096,but-2-enal
4933,consolidated silicon
6492,Dimethyl sulfoxide azeotrope Methylethil
20419,consolidated rhenium
10777,Mg In
15866,Tb-Pt-Bi
14536,sc-I
2092,approach to the analysis of aggregation pattern in biological populations
14169,Re-Se phase diagram
9698,La-O-Mo
12353,NdCoAs
10012,LaV3Si2
20266,1-Methoxy-2-butanone
18041,Zr5Si4 crystal structure
18277,НMg2(SiO4)
965,5-chloro-2-nitro-toluene
14182,Recursos humanos
10172,Li2S
9645,L10
19105,ethanol density
17152,VO2
5702,CsPbI3 gap
2548,band-gap 1.2
6532,discourse
7605,Fe6N2
4687,consolidated diamond
8961,I structure
6308,DeCu
14132,RbNiBr3
9860,LaCo2B2
3739,CdSe
3497,CaLaMgSbO
3233,C2H4O3 KOH
10591,Magnelli Young modulus
17150,VO(OH)3
15161,SnSe rock salt
5222,Cr-B
5120,"coping ability,stress,productive"
2681,bellidoite
20104,Trifluoro-chloro-methane
6950,ErSb2
7642,FeCrAlTi
17806,"Zn, cif"
19897,Sc2Co
18759,ce4ru3
13510,Poly (butylene adipate-co-terephthalate)
3668,Cavitation/fracture transition of soft materials
15946,TbNi2MN
767,3-ethyl-nonane
3450,CaCl2 HfCl6
20858,ceO2
11013,mgo crystal
1479,al-ca
12088,NB RE
9094,Indium tin oxide thermal conductivity
17926,zonas arias colombia
19709,"Ni0.75Zn0.25, cif"
2581,BAs
36,"""Sodium molybdate"""
9273,iron oxyde
7149,EuGe2
10874,Mg(OH)2
21209,Ni-Al phase diagram
302,"1,1-dibromocyclopropane"
17528,Yb-Pt-BI
13804,pt-cu
4998,consolidated titanium
9439,k3mobr6
11257,Mn3Sn
4826,consolidated lutetium oxide
3323,Ca-Mn-O phase
1458,al y cu
6621,Dy2Ru2O7 crystal structure
3804,Ce-Ta
2948,Bipolarplatte Herstellung
